idkop;nmkop;kelurahan;kecamatan;nobh;tglbh;aktif;tdkaktif;Anggt;rat;tglrat;Krywn;Mngr;modalsendiri;modalluar;volusaha;shu;asset
 386 ; Kop. Kons. Sri Waringin janggotan ; Desa Sembiran ; Tejakula ; 005140/BH/M.KUKM.2/IX/2017 ;05/09/2017; 1 ; - ; 60 ; - ;14/4/2022; 3 ; - ; 59.538.390 ; 40.967.810 ; 30.500.000 ; 4.935.300 ; 100.506.200 
 387 ; Kop. Kons. Werddhi Dana Jagadhita ; Kel. Kendran ; Buleleng ; 005443/BH/M.KUKM.2/2017 ;29/09/2017; 1 ; - ; 200 ; - ;31/07/2023; - ; - ; 411.010.200 ; 351.507.831 ; 435.947.826 ; 70.556.851 ; 762.518.031 
 388 ; Kop. Konsumen Dana Lestari Abadi ; Kel. Paket Agung ; Buleleng ; 009716/BH/M.KUKM.2/IX/2018 ;26/09/2018; 1 ; - ; 26 ; 1 ;30/04/2026; 1 ; - ; 171.223.394 ; 42.360.305 ; 176.822.500 ; 48.413.999 ; 213.583.699 
 389 ; Koperasi Konsumen Prema Shanti Seva ; Desa Panji ; Sukasada ; 014755/BH/M.KUKM.2/IX/2019 ;10/09/2019; 1 ; - ; 23 ; - ;17/3/2021; - ; - ; 5.679.316 ; - ; 4.677.500 ; 784.106 ; 64.063.422 
 390 ; Koperasi Konsumen Dharma Medika Singaraja ; Kel. Banjar Tegal ; Buleleng ; 014422/BH/M.KUKM.2/VIII/2019 ;14/08/2019; 1 ; - ; 234 ; - ;05/04/2024; 2 ; - ; 261.150.000 ; 15.150.000 ; - ; - ; 371.157.449 
 391 ; Koperasi Konsumen Nadhi Rahayu Utama ; Kel. Banjar Jawa ; Buleleng ; 012733/BH/M.KUKM.2/III/2019 ;18/03/2019; 1 ; - ; 44 ; - ;09/02/2024; - ; - ; 61.900.000 ; - ; 16.500.000 ; 12.516.500 ; 61.900.000 
 392 ; Koperasi Konsumen Sentana Sukaji Rami ; Desa Les ; Tejakula ; 014073/BH/M.KUKM.2/VII/2019 ;18/07/2019; 1 ; - ; 162 ; 1 ;09/02/2026; - ; - ; 567.564.072 ; 601.330.679 ; 986.150.500 ; 23.484.357 ; 1.168.894.751 
 393 ; Koperasi Konsumen Pusaka Niti Mandala ; Desa Pejarakan ; Gerokgak ; AHU-0003975.AH.01.26.TAHUN 2020 ;06/09/2020; 1 ; - ; 334 ; 1 ;11/03/2026; 3 ; - ; 618.367.550 ; 1.252.624.460 ; 633.150.000 ; 5.654.350 ; 1.870.992.010 
 394 ; Koperasi Konsumen Dana Prapti Rahayu ; Bondalem ; Tejakula ; AHU-0006412.AH.01.26.TAHUN 2020 ;10/11/2020; 1 ; - ; 196 ; - ;30/3/2024; 2 ; - ; 255.410.627 ; 361.188.821 ; 290.033.500 ; 15.777.000 ; 616.599.448 
 395 ; Koperasi Konsumen Mitra Abhinaya Sejahtera ; Panji ; Sukasada ; AHU-0007556.AH.01.26.TAHUN 2020 ;28/12/2020; 1 ; - ; 396 ; 1 ;14/02/2026; 7 ; - ; 195.622.674 ; 1.671.781.340 ; 1.296.520.856 ; 4.615.933 ; 1.867.404.014 
 396 ; Koperasi konsumen Duta Kriya Usaha Mandiri ; Julah ; Tejakula ; AHU-0010580.AH.01.26.Tahun 2021 ;04/06/2021; 1 ; - ; 20 ; - ;00/01/1900; 6 ; - ; 55.018.000 ; 178.386.000 ; 178.424.000 ; 3.518.000 ; 233.404.000 
 397 ; Koperasi Konsumen Permata Bhuana Nusantara ; Sambangan ; Sukasada ; AHU-0010575.AH.01.26.Tahun 2021 ;04/06/2021; 1 ; - ; 30 ; - ;07/11/2024; 1 ; - ; 63.764.877 ; - ; 29.655.300 ; (33.288.623); 63.764.877 
 398 ; Koperasi Konsumen Restu Deria Darmadi ; Anturan ; Buleleng ; AHU-0011505.AH.01.26.TAHUN 2021 ;03/08/2021; 1 ; - ; 25 ; - ;17/09/2024; 1 ; - ; 38.543.323 ; 6.000.000 ; 22.750.333 ; 8.725.666 ; 44.543.323 
 399 ; Koperasi Konsumen Margi Abyakta Sejahtera ; Mayong ; Seririt ; AHU-0015547.AH.01.26.TAHUN 2022 ;14/02/2022; 1 ; - ; - ; - ;31/3/2023; - ; - ; - ; - ; - ; - ; - 
 400 ; Koperasi Konsumen Maju Bersama Samkara ; Pemaron ; Buleleng ; AHU-0000986.AH.01.29.TAHUN 2022 ;21/04/2022; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 401 ; Koperasi Konsumen Benih Tani Amertha ; Bungkulan ; Sawan ; AHU-0005616.AH.01.29.TAHUN 2022 ;24/10/2022; 1 ; - ; 24 ; - ;03/06/2024; 1 ; - ; 69.540.000 ; - ; 36.476.000 ; 16.340.000 ; 69.540.000 
 402 ; Koperasi Konsumen Sidhi Widartha Mahardika ; Bungkulan ; Sawan ; AHU-0006104.AH.01.29.TAHUN 2022 ;16/11/2022; 1 ; - ; 9 ; - ;26/3/2024; - ; - ; 20.406.000 ; - ; 23.073.000 ; 156.000 ; 20.406.000 
 403 ; Koperasi Konsumen Cahaya Manik Galih ; Kelurahan Banjar Bali ; Buleleng ; AHU-0000434.AH.01.29.TAHUN 2023 ;30/01/2023; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 404 ; Koperasi Konsumen Bhuana Sari Sejahtera ; Panji ; Sukasada ; AHU-0002786.AH.01.29.TAHUN 2023 ;14/07/2023; 1 ; - ; 262 ; 1 ;24//1/2026; 7 ; - ; 1.113.093.982 ; 2.191.329.108 ; 2.761.226.500 ; 8.060.558 ; 3.304.423.090 
 408 ; Kop. Pemasaran Sekar Wangi Sejahtera ; Desa pacung ; Tejakula ; 005462/BH/M.KUKM.2/X/2017 ;02/10/2017; 1 ; - ; 408 ; 1 ;11/04/2026; 6 ; 1 ; 1.291.020.118 ; 2.335.397.627 ; 1.831.887.579 ; 51.966.877 ; 3.626.417.745 
 409 ; Kop. Pemasaran Ketapang Sondoh Sejahtera ; Desa. Celukan Bawang ; gerokgak ; 006381/BH/M.KUKM.2/XI/2017 ;29/11/2017; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 410 ; Kop. Pemasaran Dharma Putra Braban ; Desa Kubutambahan ; Kubutambahan ; 006411/BH/M.KUKM.2/XI/2017 ;29/11/2017; 1 ; - ; 42 ; - ;29/04/2020; - ; - ; 66.490.750 ; 6.099.250 ; 36.800.000 ; 1.935.750 ; 72.590.000 
 411 ; Koperasi Pemasaran Pangan Bali Utara ; Desa Kubutambahan ; Kubutambahan ; 014753/BH/M.KUKM.2/IX/2019 ;10/09/2019; 1 ; - ; 21 ; - ;02/02/2020; - ; - ; 28.594.350 ; - ; 29.192.100 ; 594.350 ; 28.594.350 
 412 ; Koperasi Pemasaran Krama Bali Sejahtera Bali Mula ; Desa Les ; Tejakula ; AHU-0000248.AH.01.26.TAHUN 2019 ;00/01/1900; 1 ; - ; 52 ; - ;31/03/2023; - ; - ; 41.800.000 ; 50.000.000 ; 399.000.000 ; 5.400.000 ; 91.800.000 
 413 ; Koperasi Pemasaran Buana Amerta Sari ; Desa Busungbiu ; Busungbiu ; AHU-0001143.AH.01.26. Tahun 2019 ;17/12/2019; 1 ; - ; 25 ; 1 ;20/02/2026; - ; - ; 16.691.880 ; 9.135.620 ; 18.180.000 ; 587.500 ; 25.827.500 
 414 ; Koperasi Pemasaran Ekonomi Sadar Lingkungan ; Tukad Mungga ; Buleleng ; AHU-0006161.AH.01.26.TAHUN 2020 ;02/11/2020; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 415 ; Koperasi Pemasaran Teja Amertha Dewata ; Tejakula ; Tejakula ; AHU-0007420.AH.01.26.TAHUN 2020 ;21/12/2020; 1 ; - ; 63 ; - ;29/03/2024; 4 ; - ; 56.111.740 ; 169.213.220 ; 60.963.025 ; 4.596.740 ; 225.324.960 
 416 ; Koperasi Pemasaran Mahotama Jaya Lestari ; Les ; Tejakula ; AHU-0015588.AH.01.26.TAHUN 2022 ;15/02/2022; 1 ; - ; - ; - ;22/2/2023; - ; - ; - ; - ; - ; - ; - 
 417 ; Koperasi Pemasaran Buleleng Prasada Agrobis ; Kelurahan Seririt ; Seririt ; AHU-0002568.AH.01.29.TAHUN 2023 ;03/07/2023; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 420 ; PK. Cipta Dana Sejahtera ; Kel. Banyuasri ; Buleleng ; 55/BH/XXVII. 3/XI/2009 ;30/11/2009; 1 ; - ; 24 ; 1 ;25/04/2026; 1 ; - ; 507.171.057 ; 644.180.915 ; 1.067.970.979 ; 4.017.082 ; 1.151.351.972 
 421 ; PK. PRI ; Kel. Kaliuntu ; Buleleng ; 70/BH/PAD/KWK 22/III/1997 ;29/03/1997; 1 ; - ; 31 ; 1 ;28/03/2026; 2 ; - ; 3.173.259.216 ; 532.448.086 ; 1.933.459.407 ; 98.746.759 ; 3.705.707.302 
 422 ; PKSU. Wisnu ; Kel. Banyuasri ; Buleleng ; 51/BH/PAD/KWK 22/III/1997 ;26/03/1997; 1 ; - ; 6 ; - ;31/05/2025; - ; - ; 475.158.885 ; 71.129.933 ; 29.392.688 ; 12.161.469 ; 546.288.818 
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
