idkop;nmkop;kelurahan;kecamatan;nobh;tglbh;aktif;tdkaktif;Anggt;rat;tglrat;Krywn;Mngr;modalsendiri;modalluar;volusaha;shu;asset
 237 ; KPN. Praja Kerta Buana ; Desa Tejakula ; Tejakula ; 186/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 115 ; 1 ;23/04/2026; 1 ; - ; 342.212.945 ; 79.049.140 ; 274.833.454 ; 1.465.638 ; 421.262.085 
 238 ; KPN. Bhakti Husada ; Kel. Astina ; Buleleng ; 263/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 737 ; 1 ;25/02/2026; 3 ; - ; 12.623.836.960 ; 898.726.314 ; 5.041.578.000 ; 978.090.234 ; 13.522.563.274 
 239 ; KPN. Hita Karana ; Desa Tukadmungga ; Buleleng ; 181/H/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 24 ; - ;28/05/2025; 1 ; - ; 539.692.736 ; 437.922.021 ; 497.539.038 ; 24.740.066 ; 977.614.757 
 240 ; KPN. Artha Sadhana ; Desa Banjar ; Banjar ; 180/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 402 ; 1 ;25/01/2026; 2 ; - ; 5.038.581.109 ; 169.248.549 ; 4.984.226.015 ; 111.594.028 ; 5.207.829.658 
 241 ; KPN. Abhyudaya ; Kel. Banjar Jawa ; Buleleng ; 260/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 86 ; 1 ;31/01/2026; 1 ; - ; 6.332.983.778 ; 131.510.539 ; 8.374.530.713 ; 366.426.872 ; 6.464.494.317 
 242 ; KPN. Harta Nadi ; Sambangan ; Sukasada ; 259/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 57 ; 1 ;24/01/2026; - ; - ; 1.241.247.999 ; 291.334.079 ; 1.137.271.000 ; 103.552.935 ; 1.532.582.078 
 243 ; KPN. Mina Bahari ; kel. Kaliuntu ; Buleleng ; 13/BH/PAD/Diskop/VII/2002 ;10/07/2002; 1 ; - ; 69 ; 1 ;27/02/2026; 2 ; - ; 584.304.040 ; 118.335.744 ; 398.251.279 ; 23.840.399 ; 702.639.784 
 244 ; KPN. Niaga Artha Sari ; Kel, Kaliuntu ; Buleleng ; 257/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 119 ; 1 ;31/03/2026; - ; - ; 39.029.900 ; 1.818.600 ; 10.950.000 ; 425.500 ; 40.848.500 
 245 ; KPN. Setia Budhi ; Kel.Banyuning ; Buleleng ; 256/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 338 ; 1 ;20/01/2026; 3 ; 1 ; 4.778.568.588 ; 4.752.724.289 ; 5.471.131.099 ; 119.289.090 ; 9.531.292.877 
 246 ; KPN. Praja Mukti ; Kel. Astina ; Buleleng ; 262/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 360 ; 1 ;20/02/2026; 6 ; 1 ; 6.431.423.758 ; 4.787.066.924 ; 420.535.725 ; 415.238.468 ; 11.218.490.682 
 247 ; KPN. Kuwera ; Kel. Kaliuntu ; Buleleng ; 119/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 875 ; 1 ;13/03/2026; 4 ; - ; 32.615.952.289 ; 73.050.088.900 ; 90.049.892.300 ; 2.175.228.591 ; 105.666.041.189 
 248 ; KPN. Susila Bhakti ; Desa Sangsit ; Sawan ; 80/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 227 ; 1 ;08/02/2026; 3 ; - ; 1.899.323.641 ; 255.882.140 ; 968.329.053 ; 8.376.659 ; 2.155.205.781 
 249 ; KPN. Pengayoman ; Kel. Paket Agung ; Buleleng ; 75/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 79 ; 1 ;27/02/2026; - ; - ; 1.716.273.937 ; 962.115.716 ; 1.752.999.935 ; 115.790.770 ; 2.678.389.653 
 250 ; KPN. Sutha Kerti ; Desa Kubutambahan ; Kubutambahan ; 184/BH/PAD/KWK 22/III/1996 ;26/03/1996; - ; 1 ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 251 ; KPN. Agraria ; Kel. Kaliuntu ; Buleleng ; 188/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 65 ; - ;19/01/2024; - ; - ; 1.441.357.836 ; 374.956.800 ; 1.334.100.000 ; 115.659.614 ; 1.816.314.636 
 252 ; KPN. Balidita ; Desa Penyabangan ; Gerokgak ; 22/BH/PAD/KWK 22/II/1997 ;14/02/1997; 1 ; - ; 94 ; - ;19/03/2025; 2 ; - ; 1.915.983.648 ; 1.128.634.209 ; 1.765.822.384 ; 79.074.913 ; 3.044.617.857 
 253 ; KPN. Werdhi Sedana ; Kel. Penarukan ; Buleleng ; 91/BH/PAD/KWK 22/III/1997 ;31/03/1997; 1 ; - ; 85 ; - ;16/02/2024; 2 ; - ; 750.466.727 ; 1.064.027.637 ; 1.721.208.551 ; 42.056.997 ; 1.814.494.364 
 254 ; KPN. Mahayu Warga ; Kel. Banyuasri ; Buleleng ; 261/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 144 ; 1 ;13/03/2026; 3 ; 1 ; 879.218.214 ; 925.407.892 ; 1.254.431.677 ; 29.803.126 ; 1.804.626.106 
 255 ; KPN. Satya Dharma ; Kel. Kampung Bugis ; Buleleng ; 65/BH/PAD/KWK 22/III/1997 ;27/03/1997; 1 ; - ; 57 ; - ;14/04/2018; 1 ; - ; 706.709.573 ; 706.709.573 ; 1.012.892.278 ; 659.195.000 ; 1.413.419.146 
 256 ; KPN. Rupekes ; Kel. Kendran ; Buleleng ; 271/BH/PAD/KWK 22/III/1996 ;27/03/1996; 1 ; - ; 486 ; 1 ;13/02/2026; 8 ; - ; 1.071.229.089 ; 132.243.349 ; 953.181.922 ; (126.305.734); 1.203.472.438 
 257 ; KPN. Sarwa Nadi ; Kel. Kaliuntu  ; Buleleng ; 71/BH/PAD/KWK 22/III/1997 ;26/03/1997; 1 ; - ; 122 ; 1 ;20/04/2026; - ; - ; 2.205.525.891 ; 694.128.253 ; 2.496.304.300 ; 76.088.683 ; 2.899.654.144 
 258 ; KPN. Swakarya ; Kel. Banjar Jawa ; Buleleng ; 57/BH/PAD/KWK 22/III/1997 ;26/03/1997; 1 ; - ; 93 ; 1 ;27/02/2026; - ; - ; 919.519.837 ; 22.790.509 ; 799.874.939 ; 24.613.436 ; 942.310.346 
 259 ; KPN. Dana Paramita ; Desa Seririt ; Seririt ; 41/BH/PAD/KWK 22/II/1997 ;14/02/1997; 1 ; - ; 49 ; 1 ;18/02/2026; 1 ; - ; 727.444.516 ; 44.228.887 ; 626.026.000 ; 13.438.324 ; 771.673.403 
 260 ; KPN. Patiunus ; Kel. Banyuasri ; Buleleng ; 438A/BH/PAD/KWK 22/V/1996 ;08/05/1996; 1 ; - ; 60 ; 1 ;20/02/2026; 1 ; - ; 1.004.096.028 ; 149.701.725 ; 897.643.598 ; 19.034.539 ; 1.153.797.753 
 261 ; KPN. Widya Karma ; Desa Tejakula ; Tejakula ; 79/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 120 ; 1 ;15/02/2026; 5 ; 1 ; 2.128.846.768 ; 588.597.725 ; 721.980.453 ; (15.186.473); 2.717.444.493 
 262 ; KPN. Dharma Praja ; Desa Sangsit ; Sawan ; 23/BH/PAD/KWK 22/II/1997 ;14/02/1997; 1 ; - ; 146 ; 1 ;14/02/2026; 1 ; - ; 591.234.716 ; 66.054.675 ; 456.675.000 ; 13.300.560 ; 657.289.391 
 263 ; KPN. Artha Sanggraha Adiguna ; Desa Banjar Asem ; Seririt ; 229/BH/PAD/KWK 22/II/1996 ;14/02/1997; 1 ; - ; 32 ; - ;05/07/2021; - ; - ; 812.211.159 ; 788.515.738 ; 782.864.690 ; 107.776.266 ; 1.600.726.897 
 264 ; KPN. Dharma Yasa ; Desa Patas ; Gerokgak ; 05/BH/PAD/KWK 22./II/1996 ;05/02/1996; 1 ; - ; 154 ; - ;14/06/2025; 3 ; - ; 1.505.119.383 ; 307.462.354 ; 1.632.692.367 ; (15.621.768); 1.812.581.737 
 265 ; KPN. Werdhi Yasa ; Kel. Banjar Tegal ; Buleleng ; 76/BH/PAD/KWK 22.1/III/1996 ;25/03/1996; 1 ; - ; 505 ; 1 ;31/01/2026; 7 ; - ; 6.965.887.749 ; 6.875.653.811 ; 12.179.994.388 ; 139.893.661 ; 13.841.541.560 
 266 ; KPN. Rare Angon ; Kel. Kaliuntu ; Buleleng ; 77/BH/PAD/KWK 22/III/1996 ;25/03/1996; 1 ; - ; 46 ; 1 ;13/04/2026; 1 ; - ; 234.863.018 ; 101.063.824 ; 302.148.092 ; 4.052.893 ; 335.926.842 
